EXAM_ID,PREP_TYPE,PREP_TEXT,LINK
PLACEHOLDER,module,Configure and work with quality control in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-work-with-quality-control-in-dynamics-365-finance-ops
PLACEHOLDER,module,Implement data binding in your Windows 10 application,https://docs.microsoft.com/en-us/learn/modules/implement-data-binding-in-windows-10-app
PLACEHOLDER,module,Create a user interface (UI) for Windows 10 apps,https://docs.microsoft.com/en-us/learn/modules/create-ui-for-windows-10-apps
PLACEHOLDER,module,Enhance the user interface of your Windows 10 app,https://docs.microsoft.com/en-us/learn/modules/enhance-ui-of-windows-10-app
PLACEHOLDER,module,Move to a modern desktop with Microsoft 365,https://docs.microsoft.com/en-us/learn/modules/move-to-modern-desktop-m365
PLACEHOLDER,module,Introduction to the Azure Data Science Virtual Machine,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-dsvm
PLACEHOLDER,module,Configure and work with inventory management in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-inventory-management-in-dynamics-365-finance-ops
PLACEHOLDER,module,Introduction to Azure Machine Learning service,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-machine-learning-service
PLACEHOLDER,module,Select a cloud deployment model,https://docs.microsoft.com/en-us/learn/modules/select-a-cloud-deployment-model
PLACEHOLDER,learning path,Microsoft 365 Fundamentals,https://docs.microsoft.com/en-us/learn/paths/m365-fundamentals
PLACEHOLDER,module,Choose the Data Science service in Azure you need,https://docs.microsoft.com/en-us/learn/modules/choose-data-science-option-in-azure
PLACEHOLDER,module,Manage your Microsoft 365 subscription,https://docs.microsoft.com/en-us/learn/modules/manage-your-m365-subscription
PLACEHOLDER,module,What is Microsoft 365?,https://docs.microsoft.com/en-us/learn/modules/what-is-m365
PLACEHOLDER,module,Introduction to Data Science in Azure,https://docs.microsoft.com/en-us/learn/modules/intro-to-data-science-in-azure
PLACEHOLDER,module,Provision and use an Azure Data Science Virtual Machine,https://docs.microsoft.com/en-us/learn/modules/provision-and-use-azure-dsvm
PLACEHOLDER,module,Introduction to Microsoft 365 core services and features,https://docs.microsoft.com/en-us/learn/modules/intro-to-m365-core-services
PLACEHOLDER,module,Introduction to Microsoft 365 unified endpoint management,https://docs.microsoft.com/en-us/learn/modules/intro-to-m365-unified-endpoint-management
PLACEHOLDER,module,Use inventory reports in Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/use-inventory-reports-in-dynamics-365-finance-ops
PLACEHOLDER,module,Automate the ML model selection with Azure Machine Learning service,https://docs.microsoft.com/en-us/learn/modules/automate-model-selection-with-azure-automl
PLACEHOLDER,module,Explore the types of Azure Data Science Virtual Machines,https://docs.microsoft.com/en-us/learn/modules/explore-azure-dsvm-types
PLACEHOLDER,module,Introduction to teamwork in Microsoft 365,https://docs.microsoft.com/en-us/learn/modules/intro-to-teamwork-in-m365
PLACEHOLDER,module,Security in Microsoft 365,https://docs.microsoft.com/en-us/learn/modules/security-in-m365
PLACEHOLDER,module,Get started with financial management in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-financial-management-in-dynamics-365-finance-ops
PLACEHOLDER,module,Register and deploy ML models with Azure Machine Learning service,https://docs.microsoft.com/en-us/learn/modules/register-and-deploy-model-with-amls
PLACEHOLDER,module,Train a local ML model with Azure Machine Learning service,https://docs.microsoft.com/en-us/learn/modules/train-local-model-with-azure-mls
PLACEHOLDER,module,Get started with supply chain management in Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-supply-chain-management-in-dynamics-365-finance-ops
PLACEHOLDER,module,Compliance in Microsoft 365,https://docs.microsoft.com/en-us/learn/modules/compliance-in-m365
PLACEHOLDER,module,Create bill of materials in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/create-bill-of-materials-in-dynamics-365-finance-ops
PLACEHOLDER,learning path,Get started with Machine Learning with an Azure Data Science Virtual Machine,https://docs.microsoft.com/en-us/learn/paths/get-started-with-azure-dsvm
PLACEHOLDER,module,Work with external data in a PowerApps canvas app,https://docs.microsoft.com/en-us/learn/modules/work-with-external-data
PLACEHOLDER,learning path,Explore AI solution development with data science services in Azure,https://docs.microsoft.com/en-us/learn/paths/explore-data-science-tools-in-azure
PLACEHOLDER,learning path,Introduction to machine learning with Python and Azure Notebooks,https://docs.microsoft.com/en-us/learn/paths/intro-to-ml-with-python
PLACEHOLDER,learning path,Build AI solutions with Azure Machine Learning service,https://docs.microsoft.com/en-us/learn/paths/build-ai-solutions-with-azure-ml-service
PLACEHOLDER,module,Write data in a PowerApps canvas app,https://docs.microsoft.com/en-us/learn/modules/write-data
PLACEHOLDER,module,Shape data in a PowerApps canvas app,https://docs.microsoft.com/en-us/learn/modules/shape-data
PLACEHOLDER,module,Author a basic formula that uses tables and records in a PowerApps canvas app,https://docs.microsoft.com/en-us/learn/modules/author-basic-formula-tables-records-powerapps
PLACEHOLDER,learning path,Work with data in a PowerApps canvas app,https://docs.microsoft.com/en-us/learn/paths/work-with-data-in-a-canvas-app
PLACEHOLDER,learning path,Configure your organization in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/paths/configure-your-organization-in-finance-and-ops
PLACEHOLDER,module,Get started with cost accounting in Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-with-cost-accounting-in-dynamics-365-finance-ops
PLACEHOLDER,module,Secure Common Data Service data in Dynamics 365 portals,https://docs.microsoft.com/en-us/learn/modules/secure-common-data-service-data-dynamics-365
PLACEHOLDER,module,Implement common integration features in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/implement-common-integration-features-in-dynamics-365-finance-ops
PLACEHOLDER,module,Configure credit and collections in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-credit-and-collections-in-dynamics-365-finance-ops
PLACEHOLDER,module,Develop with Dynamics 365 portals,https://docs.microsoft.com/en-us/learn/modules/develop-with-dynamics-365-portals
PLACEHOLDER,module,Creating Adaptive Cards,https://docs.microsoft.com/en-us/learn/modules/writing-adaptive-cards
PLACEHOLDER,module,Dynamics 365 applications and Power Platform,https://docs.microsoft.com/en-us/learn/modules/dynamics-365-apps-power-platform
PLACEHOLDER,module,Work with analytics and reporting in Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/work-with-analytics-reporting-in-dynamics-365-finance-ops
PLACEHOLDER,module,Work with data management in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/work-with-data-management-in-dynamics-365-finance-ops
PLACEHOLDER,module,Configure letters of credit and guarantees in Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-letters-of-credit-guarantees-in-dynamics-365-finance-ops
PLACEHOLDER,module,Configure and process postdated checks in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-and-process-postdated-checks-in-dynamics-365-finance-ops
PLACEHOLDER,learning path,Work with accounts payable in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/paths/work-with-accounts-payable-in-dynamics-365-for-finance-and-ops
PLACEHOLDER,module,Work with workflows in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/create-use-workflows-in-dynamics-365-finance-ops
PLACEHOLDER,learning path,Extend Dynamics 365 portals,https://docs.microsoft.com/en-us/learn/paths/extend-dynamics-365-portals
PLACEHOLDER,module,Design and build mobile apps for Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/design-and-build-mobile-apps-for-dynamics-365-finance-ops
PLACEHOLDER,module,Prepare data for migration to Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/prepare-data-migration-to-dynamics-365-finance-ops
PLACEHOLDER,module,Configure the Tax module in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-tax-module-in-dynamics-365-finance-ops
PLACEHOLDER,module,Get started with production control in Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-with-production-control-in-dynamics-365-finance-ops
PLACEHOLDER,module,Authenticate browser-based apps with Azure App Services,https://docs.microsoft.com/en-us/learn/modules/authenticate-browser-based-apps-with-azure-app-services
PLACEHOLDER,learning path,Work with Dynamics 365 for Sales Professional,https://docs.microsoft.com/en-us/learn/paths/working-with-dynamics-sales-professional
PLACEHOLDER,module,Create content in Dynamics 365 portals,https://docs.microsoft.com/en-us/learn/modules/create-content-dynamics-365-portals
PLACEHOLDER,module,Manage users and authentication in Dynamics 365 portals,https://docs.microsoft.com/en-us/learn/modules/manage-users-auth-dynamics-365-portals
PLACEHOLDER,module,Work with Dynamics 365 portal components,https://docs.microsoft.com/en-us/learn/modules/work-with-dynamics-365-portal-components
PLACEHOLDER,module,Configure cash and bank management in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-cash-and-bank-management-in-dynamics-365-finance-ops
PLACEHOLDER,module,Get started with Windows Subsystem for Linux,https://docs.microsoft.com/en-us/learn/modules/get-started-with-windows-subsystem-for-linux
PLACEHOLDER,module,Secure Dynamics 365 portals content,https://docs.microsoft.com/en-us/learn/modules/secure-dynamics-365-portal-content
PLACEHOLDER,module,Intercompany accounting in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/intercompany-accounting-in-dynamics-365-finance-ops
PLACEHOLDER,learning path,Work with portals in Dynamics 365,https://docs.microsoft.com/en-us/learn/paths/work-with-portals-in-dynamics-365
PLACEHOLDER,module,Perform Accounts payable daily procedures in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/accounts-payable-daily-procedures-in-dynamics-365-finance-ops
PLACEHOLDER,module,Configure ledger allocations and accruals in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-ledger-allocations-accruals-in-dynamics-365-finance-ops
PLACEHOLDER,module,Work with cash and bank management in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/work-with-cash-and-bank-in-dynamics-365-finance-ops
PLACEHOLDER,module,Prepare to go-live with Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/prepare-go-live-in-dynamics-365-finance-ops
PLACEHOLDER,module,Plan and configure the global address book (GAB) in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/plan-config-global-address-book-in-dynamics-365-finance-ops
PLACEHOLDER,module,Access Common Data Service data in Dynamics 365 portals,https://docs.microsoft.com/en-us/learn/modules/access-common-data-service-dynamics-365
PLACEHOLDER,module,Get started with Lifecycle Services for Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-with-lcs
PLACEHOLDER,module,Integrate adaptive cards into Windows 10 Timeline,https://docs.microsoft.com/en-us/learn/modules/integrate-app-into-windows-10-timeline
PLACEHOLDER,module,Introduction to Windows 10 development,https://docs.microsoft.com/en-us/learn/modules/introduction-to-windows10-dev
PLACEHOLDER,module,Configure Accounts payable in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-accounts-payable-in-dynamics-365-finance-ops
PLACEHOLDER,module,Perform general ledger daily procedures in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/general-ledger-daily-procedures-in-dynamics-365-finance-ops
PLACEHOLDER,module,Plan and implement legal entities in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/plan-implement-legal-entities-in-dynamics-365-finance-ops
PLACEHOLDER,module,Optimize performance of Azure Cosmos DB by using partitioning and indexing strategies,https://docs.microsoft.com/en-us/learn/modules/monitor-and-scale-cosmos-db
PLACEHOLDER,learning path,Use Lifecycle Services (LCS) to design and plan an implementation of Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/paths/use-lcs-to-design-and-plan-an-implementation-of-f-and-o
PLACEHOLDER,module,"Work with accounting distributions, invoice validations and settlements in Dynamics 365 for Finance and Operations",https://docs.microsoft.com/en-us/learn/modules/accounting-distributions-invoice-validations-settlements-in-dynamics-365-finance-ops
PLACEHOLDER,module,Design and plan an implementation of Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/design-plan-implementation-in-f-and-o
PLACEHOLDER,module,Instrument server-side web application code with Application Insights,https://docs.microsoft.com/en-us/learn/modules/instrument-web-app-code-with-application-insights
PLACEHOLDER,module,Configure chart of accounts in Dynamics 365 for Finance and Operations,https://docs.microsoft.com/en-us/learn/modules/configure-chart-of-accounts-in-dynamics-365-finance-ops
